laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,CPU_Benchmark,Ram,Memory,Memory_benchmark,Gpu,GPU_benchmark,OpSys,Weight,Price_euros
693,Dell,Alienware 15,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,7525,16GB,256GB SSD + 1TB HDD,69.98,Nvidia GeForce 920MX,5.3,Windows 10,2kg,564
1061,MSI,GT72S Dominator,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,6933,16GB,256GB SSD + 1TB HDD,69.98,Nvidia GeForce 930M,4.2,Windows 10,2.2kg,1043
1154,MSI,GT72S Dominator,Gaming,17.3,Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,6892,16GB,256GB SSD + 1TB HDD,69.98,Nvidia GeForce 930M,4.2,Windows 10,2.4kg,1403
256,Asus,ROG G752VSK-GC493T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,6963,16GB,256GB SSD + 1TB HDD,69.98,Nvidia GeForce 930M,4.2,Windows 10,2.2kg,812
526,Asus,FX753VE-GC155T (i7-7700HQ/16GB/1TB,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,6963,16GB,256GB SSD + 1TB HDD,69.98,Nvidia GeForce 930M,4.2,Windows 10,1.47kg,1764
113,Asus,VivoBook S15,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,5951,16GB,256GB SSD + 1TB HDD,69.98,Nvidia GeForce 930M,4.2,Windows 10,2.4kg,1975
913,Asus,G701VO-IH74K (i7-6820HK/32GB/2x,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,6933,32GB,256GB SSD + 256GB SSD,45.98,Nvidia GeForce 930MX,4.9,Windows 10,2.5kg,977
1077,Dell,Inspiron 5567,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,3661,16GB,2TB HDD,49.99,Nvidia GeForce 930MX,4.9,Windows 10,2.1kg,879
59,MSI,GS73VR 7RG,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,6963,16GB,256GB SSD + 2TB HDD,72.98,Nvidia GeForce 930MX,4.9,Linux,1.64kg,1089
124,MSI,GS63VR 7RG,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,6963,16GB,256GB SSD + 2TB HDD,72.98,Nvidia GeForce 930MX,4.9,Windows 10,2.63kg,1200
351,Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,6963,16GB,256GB SSD + 2TB HDD,72.98,Nvidia GeForce 930MX,4.9,Windows 10,2.63kg,1280
612,MSI,GS63VR 7RF,Gaming,15.6,4K Ultra HD 3840x2160,Intel Core i7 7700HQ 2.8GHz,6963,16GB,256GB SSD + 2TB HDD,72.98,Nvidia GeForce 930MX,4.9,Windows 10,1.93kg,1537.39
61,Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,5951,16GB,256GB SSD + 2TB HDD,72.98,Nvidia GeForce 930MX,4.9,Windows 10,2.5kg,923
131,Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,5951,16GB,256GB SSD + 2TB HDD,72.98,Nvidia GeForce 930MX,4.9,Windows 10,2.5kg,914
184,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,5951,16GB,256GB SSD + 2TB HDD,72.98,Nvidia GeForce 930MX,4.9,Windows 10,1.63kg,1031
433,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,5951,8GB,256GB SSD + 2TB HDD,72.98,Nvidia GeForce 930MX,4.9,Windows 10,1.64kg,1179
520,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,5951,16GB,256GB SSD + 2TB HDD,72.98,Nvidia GeForce 930MX,4.9,Windows 10,2.04kg,889
665,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,5951,16GB,256GB SSD + 2TB HDD,72.98,Nvidia GeForce 930MX,4.9,Windows 10,1.93kg,1369
29,Dell,Latitude 5590,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,6303,8GB,256GB SSD + 256GB SSD,45.98,Nvidia GeForce 930MX,4.9,Windows 10,2.5kg,896
1145,HP,15-bs078cl (i7-7500U/8GB/2TB/W10),Notebook,15.6,1366x768,Intel Core i7 7500U 2.7GHz,3661,8GB,2TB HDD,49.99,Nvidia GeForce 940M,4.2,Windows 10,1.45kg,1026
784,Asus,Q524UQ-BHI7T15 (i7-7500U/12GB/2TB/GeForce,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,3661,12GB,2TB HDD,49.99,Nvidia GeForce 940MX,4.2,Windows 10,1.58kg,659
284,Lenovo,IdeaPad 320-17IKBR,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,5951,8GB,2TB HDD,49.99,Nvidia GeForce 940MX,4.2,Windows 10,1.3kg,1193
707,HP,15-bs011nv (i7-7500U/4GB/500GB/Radeon,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,3661,4GB,500GB HDD,28,Nvidia GeForce GTX 1050,9.7,Windows 10,2.56kg,1249.26
279,Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel Core i7 6500U 2.5GHz,3272,8GB,500GB HDD,28,Nvidia GeForce GTX 1060,19.8,Windows 10,4.2kg,2299
1219,Lenovo,IdeaPad 310-15ISK,Notebook,15.6,1366x768,Intel Core i7 6500U 2.5GHz,3272,8GB,500GB HDD,28,Nvidia GeForce GTX 1060,19.8,Windows 10,1.6kg,1891
1287,Asus,X556UJ-XO044T (i7-6500U/4GB/500GB/GeForce,Notebook,15.6,1366x768,Intel Core i7 6500U 2.5GHz,3272,4GB,500GB HDD,28,Nvidia GeForce GTX 1060,19.8,Windows 10,4.2kg,1935
1301,Asus,X556UJ-XO044T (i7-6500U/4GB/500GB/GeForce,Notebook,15.6,1366x768,Intel Core i7 6500U 2.5GHz,3272,4GB,500GB HDD,28,Nvidia GeForce GTX 1060,19.8,Windows 10,1.8kg,2094.48
1315,Asus,X556UJ-XO044T (i7-6500U/4GB/500GB/GeForce,Notebook,15.6,1366x768,Intel Core i7 6500U 2.5GHz,3272,4GB,500GB HDD,28,Nvidia GeForce GTX 1060,19.8,Windows 10,1.95kg,2899
470,Lenovo,IdeaPad 510s-14IKB,Notebook,14,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,3661,8GB,512GB SSD,49.99,Nvidia GeForce GTX 1060,19.8,Windows 10,3.35kg,1129
518,Acer,Aspire A515-51G,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,3661,4GB,500GB HDD,28,Nvidia GeForce GTX 1060,19.8,Windows 10,4.36kg,2505.02
414,Dell,Latitude 7480,Ultrabook,14,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,3698,8GB,512GB SSD,49.99,Nvidia GeForce GTX 1060,19.8,Windows 10,2.43kg,2048.9
700,HP,ZBook 17,Workstation,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,6963,8GB,500GB HDD,28,Nvidia GeForce GTX 1060,19.8,Windows 10,2.43kg,2649
1248,Lenovo,ThinkPad Yoga,Netbook,12.5,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.50GHz,3272,16GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,4.6kg,2663
413,Toshiba,Portege Z30-C-16P,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,3272,16GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,1.8kg,2241.5
706,Toshiba,Portege Z30T-C-133,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,3272,16GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,2.9kg,2029
728,Lenovo,ThinkPad X1,Ultrabook,14,IPS Panel Quad HD+ 2560x1440,Intel Core i7 6500U 2.5GHz,3272,8GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,4.14kg,2499
854,HP,EliteBook 840,Ultrabook,14,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,3272,8GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,2.8kg,2099
859,HP,EliteBook 840,Ultrabook,14,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,3272,8GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,2.8kg,2249
1128,HP,Spectre Pro,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,3272,8GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,4.42kg,2799
1289,Lenovo,Yoga 900-13ISK,2 in 1 Convertible,13.3,IPS Panel Quad HD+ / Touchscreen 3200x1800,Intel Core i7 6500U 2.5GHz,3272,16GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,4.14kg,2729
1303,Lenovo,Yoga 900-13ISK,2 in 1 Convertible,13.3,IPS Panel Quad HD+ / Touchscreen 3200x1800,Intel Core i7 6500U 2.5GHz,3272,16GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,2.94kg,2267.86
1317,Lenovo,Yoga 900-13ISK,2 in 1 Convertible,13.3,IPS Panel Quad HD+ / Touchscreen 3200x1800,Intel Core i7 6500U 2.5GHz,3272,16GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,4.42kg,3147.37
278,Lenovo,ThinkPad X1,2 in 1 Convertible,14,Touchscreen 2560x1440,Intel Core i7 6600U 2.6GHz,3474,16GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,2.43kg,2449
840,Lenovo,Thinkpad X1,Ultrabook,14,IPS Panel Quad HD+ 2560x1440,Intel Core i7 6600U 2.6GHz,3474,16GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,2.9kg,2122
1156,Lenovo,ThinkPad X1,2 in 1 Convertible,14,IPS Panel Touchscreen 2560x1440,Intel Core i7 6600U 2.6GHz,3474,16GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,3.35kg,1999
1175,Lenovo,ThinkPad T460s,Ultrabook,14,Full HD 1920x1080,Intel Core i7 6600U 2.6GHz,3474,12GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,4.42kg,3012.77
1177,HP,Spectre Pro,2 in 1 Convertible,13.3,Touchscreen 2560x1440,Intel Core i7 6600U 2.6GHz,3474,8GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,4.42kg,2699
219,Huawei,MateBook X,Ultrabook,13,IPS Panel Full HD 2160x1440,Intel Core i7 7500U 2.7GHz,3661,8GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,2.9kg,2415
390,Asus,Zenbook Flip,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,3661,16GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,3.21kg,2774.63
391,Lenovo,Thinkpad X1,Ultrabook,14,IPS Panel 2560x1440,Intel Core i7 7500U 2.7GHz,3661,8GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,2.9kg,2419
395,Lenovo,ThinkPad X1,2 in 1 Convertible,14,Touchscreen 2560x1440,Intel Core i7 7500U 2.7GHz,3661,16GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,4.42kg,3072.89
412,Asus,Zenbook 3,Ultrabook,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,3661,8GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,4.36kg,3154
445,Lenovo,ThinkPad T470s,Ultrabook,14,2560x1440,Intel Core i7 7500U 2.7GHz,3661,24GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,4.42kg,3149
495,Lenovo,Thinkpad X270,Ultrabook,12.5,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,3661,16GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,3.78kg,2499
496,Asus,Zenbook UX390UA,Ultrabook,12.5,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,3661,16GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,4.2kg,2599
498,Toshiba,Portege X30-D-10L,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,3661,32GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,2.2kg,2449
515,HP,Envy 13-AB002nv,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,3661,8GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,2.34kg,2325
459,HP,ProBook 650,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,7140,8GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,4.42kg,2800
444,Google,Pixelbook (Core,Ultrabook,12.3,Touchscreen 2400x1600,Intel Core i7 7Y75 1.3GHz,2709,16GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,4.36kg,3659.4
912,Dell,XPS 13,2 in 1 Convertible,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7Y75 1.3GHz,2709,8GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,4.42kg,2868.99
984,Dell,XPS 13,2 in 1 Convertible,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7Y75 1.3GHz,2709,16GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,4.3kg,2350
556,Lenovo,ThinkPad T570,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,3661,8GB,512GB SSD,49.99,Nvidia GeForce GTX 1070M,28.8,Windows 10,4.42kg,3588.8
583,Toshiba,Tecra X40-D-10H,Ultrabook,14,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,3661,16GB,512GB SSD,49.99,Nvidia GeForce GTX 1080,38.6,Windows 10,3.49kg,6099
603,Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,3661,8GB,512GB SSD,49.99,Nvidia GeForce GTX 1080,38.6,Windows 10,4.7kg,3890
624,HP,EliteBook 850,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,3661,8GB,512GB SSD,49.99,Nvidia GeForce GTX 1080,38.6,Windows 10,3.6kg,2999
637,Asus,ZenBook 3,Ultrabook,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,3661,16GB,512GB SSD,49.99,Nvidia GeForce GTX 1080,38.6,Windows 10,3.8kg,2799
650,Lenovo,ThinkPad X1,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,3661,16GB,512GB SSD,49.99,Nvidia GeForce GTX 1080,38.6,Windows 10,3.49kg,5499
686,LG,Gram 15Z975,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,5951,8GB,512GB SSD,49.99,Nvidia GeForce GTX 1080,38.6,Windows 10,4.36kg,2758
704,Lenovo,Yoga 910-13IKB,2 in 1 Convertible,14,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,3661,16GB,512GB SSD,49.99,Nvidia GeForce GTX 930MX,4.9,Windows 10,2.3kg,787
825,Razer,Blade Stealth,Ultrabook,12.5,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7500U 2.5GHz,3661,16GB,512GB SSD,49.99,Nvidia GeForce GTX 940MX,4.2,Windows 10,2.8kg,719
793,Lenovo,ThinkPad T470s,Ultrabook,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,3661,16GB,512GB SSD,49.99,Nvidia GeForce GTX 940MX,4.2,Windows 10,1.83kg,699
801,Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,3661,8GB,512GB SSD,49.99,Nvidia GeForce GTX 940MX,4.2,No OS,2.8kg,589
831,Lenovo,Thinkpad X1,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,3661,8GB,512GB SSD,49.99,Nvidia GeForce GTX 940MX,4.2,Windows 10,2.2kg,469
917,LG,Gram 15Z970,Ultrabook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,3661,16GB,512GB SSD,49.99,Nvidia GeForce GTX 950M,6.4,No OS,2.69kg,889
918,HP,Elitebook 820,Netbook,12.5,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,3661,8GB,512GB SSD,49.99,Nvidia GeForce GTX 950M,6.4,No OS,2.45kg,579
922,LG,Gram 14Z970,Ultrabook,14,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,3661,8GB,512GB SSD,49.99,Nvidia GeForce GTX 950M,6.4,Windows 10,2.4kg,1009
977,Toshiba,Portege X20W-D-10V,Ultrabook,12.5,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,3661,8GB,512GB SSD,49.99,Nvidia GeForce GTX 950M,6.4,Windows 10,2.3kg,977
994,Dell,Inspiron 7579,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,3661,12GB,512GB SSD,49.99,Nvidia GeForce GTX 950M,6.4,Windows 10,2.4kg,799
1013,HP,EliteBook 840,Ultrabook,14,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,3661,8GB,512GB SSD,49.99,Nvidia GeForce GTX 960,22.1,Windows 10,3.31kg,1196
1098,HP,Spectre x360,Ultrabook,13.3,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7500U 2.7GHz,3661,16GB,512GB SSD,49.99,Nvidia GeForce GTX 960,22.1,Windows 10,3.31kg,1305
1133,Toshiba,Portege X30-D-10K,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,3661,16GB,512GB SSD,49.99,Nvidia GeForce GTX 960<U+039C>,9.3,Windows 10,2.59kg,879.01
1204,Dell,Inspiron 5578,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,3661,16GB,512GB SSD,49.99,Nvidia GeForce GTX 960<U+039C>,9.3,Windows 10,2.6kg,1272
1221,Dell,XPS 13,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7500U 2.7GHz,3661,16GB,512GB SSD,49.99,Nvidia GeForce GTX 960M,9.3,Windows 10,2kg,1299
1257,Lenovo,ThinkPad 13,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,3661,16GB,512GB SSD,49.99,Nvidia GeForce GTX 960M,9.3,Windows 10,2.72kg,1099
456,Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i7 7660U 2.5GHz,3698,16GB,512GB SSD,49.99,Nvidia GeForce GTX 960M,9.3,Windows 10,2.9kg,1511.19
875,Dell,XPS 13,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7660U 2.5GHz,3698,16GB,512GB SSD,49.99,Nvidia GeForce GTX 960M,9.3,Windows 10,2.59kg,1339
34,Dell,XPS 13,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,5951,16GB,512GB SSD,49.99,Nvidia GeForce GTX 960M,9.3,Windows 10,2.18kg,799
54,HP,ProBook 430,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,5951,8GB,512GB SSD,49.99,Nvidia GeForce GTX 960M,9.3,Windows 10,2.591kg,909
94,HP,Probook 430,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,5951,16GB,512GB SSD,49.99,Nvidia GeForce GTX 960M,9.3,Windows 10,2.6kg,1029
119,HP,Probook 440,Notebook,14,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,5951,8GB,512GB SSD,49.99,Nvidia GeForce GTX 960M,9.3,Windows 10,2.3kg,1169
186,Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,5951,16GB,512GB SSD,49.99,Nvidia GeForce GTX 960M,9.3,Windows 10,2.4kg,1229
224,Dell,Inspiron 5379,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,5951,16GB,512GB SSD,49.99,Nvidia GeForce GTX 960M,9.3,Windows 10,2.6kg,899
