laptop_ID,Company,Product,TypeName,Inches,ScreenResolution,Cpu,CPU_Benchmark,Ram,Memory,Memory_benchmark,Gpu,GPU_benchmark,OpSys,Weight,Price_euros
715,Lenovo,ThinkPad P51s,Workstation,15.6,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,3272,16GB,512GB SSD,49.99,Nvidia GeForce MX150,6.5,No OS,1.95kg,1199
728,Lenovo,ThinkPad X1,Ultrabook,14,IPS Panel Quad HD+ 2560x1440,Intel Core i7 6500U 2.5GHz,3272,8GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,4.14kg,2499
854,HP,EliteBook 840,Ultrabook,14,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,3272,8GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,2.8kg,2099
859,HP,EliteBook 840,Ultrabook,14,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,3272,8GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,2.8kg,2249
894,Lenovo,IdeaPad 510-15ISK,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,3272,8GB,1TB HDD,39.99,Intel HD Graphics 520,3.5,Windows 7,1.65kg,1465
935,HP,EliteBook 850,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,3272,8GB,256GB SSD,22.99,Intel HD Graphics 520,3.5,Windows 10,1.36kg,1637
972,Dell,XPS 13,Ultrabook,13.3,Quad HD+ 3200x1800,Intel Core i7 6500U 2.5GHz,3272,8GB,256GB SSD,22.99,Intel HD Graphics 620,3.9,No OS,1.86kg,575
1027,HP,EliteBook 840,Ultrabook,14,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,3272,8GB,256GB SSD,22.99,Intel HD Graphics 620,3.9,No OS,1.7kg,599
1033,HP,EliteBook 1040,Notebook,14,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,3272,8GB,256GB SSD,22.99,Intel HD Graphics 620,3.9,Windows 10 S,1.252kg,1089
1048,HP,EliteBook 850,Notebook,15.6,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,3272,8GB,256GB SSD,22.99,Intel HD Graphics 620,3.9,Windows 10,1.96kg,598.99
1049,HP,EliteBook 820,Ultrabook,12.5,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,3272,8GB,256GB SSD,22.99,Intel HD Graphics 620,3.9,Windows 10,1.25kg,1049
1054,Lenovo,Yoga 500-15ISK,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,3272,4GB,256GB SSD,22.99,Intel HD Graphics 620,3.9,Windows 10,1.37kg,1399
1056,Toshiba,Tecra A50-C-218,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,3272,16GB,256GB SSD,22.99,Intel HD Graphics 620,3.9,Windows 10,2.31kg,1189
1082,Dell,Inspiron 5368,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,3272,8GB,256GB SSD,22.99,Intel HD Graphics 620,3.9,Windows 10,1.9kg,498
1089,Lenovo,ThinkPad Yoga,Ultrabook,12.5,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,3272,8GB,256GB SSD,22.99,Intel HD Graphics 620,3.9,Windows 10,1.74kg,629
1101,HP,ZBook 15u,Workstation,15.6,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,3272,8GB,256GB SSD,22.99,Intel HD Graphics 520,3.5,Windows 10,2.06kg,481.98
1128,HP,Spectre Pro,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,3272,8GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,4.42kg,2799
1132,Razer,Blade Stealth,Ultrabook,12.5,Touchscreen / 4K Ultra HD 3840x2160,Intel Core i7 6500U 2.5GHz,3272,8GB,256GB SSD,22.99,Intel HD Graphics 620,3.9,Windows 10,2kg,489
1140,Lenovo,ThinkPad Yoga,2 in 1 Convertible,14,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,3272,8GB,256GB SSD,22.99,Intel HD Graphics 620,3.9,Windows 10,1.42kg,2824
1155,HP,EliteBook 850,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,3272,8GB,256GB SSD,22.99,Intel HD Graphics 620,3.9,Windows 10,2.2kg,597
1167,Lenovo,ThinkPad X1,2 in 1 Convertible,14,IPS Panel Touchscreen 2560x1440,Intel Core i7 6500U 2.5GHz,3272,8GB,256GB SSD,22.99,Intel HD Graphics 620,3.9,Windows 10,1.38kg,1079
1188,HP,250 G5,Notebook,15.6,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,3272,8GB,256GB SSD,22.99,Intel HD Graphics 620,3.9,Windows 10,2.1kg,722
1219,Lenovo,IdeaPad 310-15ISK,Notebook,15.6,1366x768,Intel Core i7 6500U 2.5GHz,3272,8GB,500GB HDD,28,Nvidia GeForce GTX 1060,19.8,Windows 10,1.6kg,1891
1254,HP,EliteBook 840,Ultrabook,14,2560x1440,Intel Core i7 6500U 2.5GHz,3272,8GB,256GB SSD,22.99,Intel HD Graphics 620,3.9,Windows 10,2.15kg,659
1259,Asus,ZenBook UX310UA-WB71,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,3272,8GB,256GB SSD,22.99,Intel HD Graphics 620,3.9,Windows 10,1.3kg,509
1287,Asus,X556UJ-XO044T (i7-6500U/4GB/500GB/GeForce,Notebook,15.6,1366x768,Intel Core i7 6500U 2.5GHz,3272,4GB,500GB HDD,28,Nvidia GeForce GTX 1060,19.8,Windows 10,4.2kg,1935
1288,Lenovo,Yoga 500-14ISK,2 in 1 Convertible,14,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,3272,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.1kg,745
1289,Lenovo,Yoga 900-13ISK,2 in 1 Convertible,13.3,IPS Panel Quad HD+ / Touchscreen 3200x1800,Intel Core i7 6500U 2.5GHz,3272,16GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,4.14kg,2729
1291,HP,15-AC110nv (i7-6500U/6GB/1TB/Radeon,Notebook,15.6,1366x768,Intel Core i7 6500U 2.5GHz,3272,6GB,1TB HDD,39.99,Intel HD Graphics 400,1.1,Chrome OS,1.26kg,295
1301,Asus,X556UJ-XO044T (i7-6500U/4GB/500GB/GeForce,Notebook,15.6,1366x768,Intel Core i7 6500U 2.5GHz,3272,4GB,500GB HDD,28,Nvidia GeForce GTX 1060,19.8,Windows 10,1.8kg,2094.48
1302,Lenovo,Yoga 500-14ISK,2 in 1 Convertible,14,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,3272,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.1kg,689
1303,Lenovo,Yoga 900-13ISK,2 in 1 Convertible,13.3,IPS Panel Quad HD+ / Touchscreen 3200x1800,Intel Core i7 6500U 2.5GHz,3272,16GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,2.94kg,2267.86
1305,HP,15-AC110nv (i7-6500U/6GB/1TB/Radeon,Notebook,15.6,1366x768,Intel Core i7 6500U 2.5GHz,3272,6GB,1TB HDD,39.99,Intel HD Graphics 400,1.1,Chrome OS,1.25kg,379
1315,Asus,X556UJ-XO044T (i7-6500U/4GB/500GB/GeForce,Notebook,15.6,1366x768,Intel Core i7 6500U 2.5GHz,3272,4GB,500GB HDD,28,Nvidia GeForce GTX 1060,19.8,Windows 10,1.95kg,2899
1316,Lenovo,Yoga 500-14ISK,2 in 1 Convertible,14,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,3272,4GB,128GB SSD,18.99,AMD Radeon 530,4.5,Windows 10,2.2kg,399
1317,Lenovo,Yoga 900-13ISK,2 in 1 Convertible,13.3,IPS Panel Quad HD+ / Touchscreen 3200x1800,Intel Core i7 6500U 2.5GHz,3272,16GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,4.42kg,3147.37
1319,HP,15-AC110nv (i7-6500U/6GB/1TB/Radeon,Notebook,15.6,1366x768,Intel Core i7 6500U 2.5GHz,3272,6GB,1TB HDD,39.99,Intel HD Graphics 400,1.1,Windows 10,1.42kg,249
947,Lenovo,Yoga 900-13ISK,2 in 1 Convertible,13.3,IPS Panel Quad HD+ / Touchscreen 3200x1800,Intel Core i7 6560U 2.2GHz,3324,16GB,1TB SSD,109.99,Intel HD Graphics 520,3.5,Windows 7,1.43kg,1449
278,Lenovo,ThinkPad X1,2 in 1 Convertible,14,Touchscreen 2560x1440,Intel Core i7 6600U 2.6GHz,3474,16GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,2.43kg,2449
476,Lenovo,Thinkpad T460s,Ultrabook,14,IPS Panel Quad HD+ 2560x1440,Intel Core i7 6600U 2.6GHz,3474,12GB,256GB SSD,22.99,Intel HD Graphics 6000,3.9,macOS,1.34kg,898.94
594,Lenovo,Thinkpad T460s,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i7 6600U 2.6GHz,3474,12GB,256GB SSD,22.99,Intel HD Graphics 6000,3.9,Mac OS X,1.35kg,1099
791,Toshiba,Tecra Z40-C-161,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i7 6600U 2.6GHz,3474,16GB,512GB SSD,49.99,Nvidia GeForce GTX 970M,12.6,Windows 10,1.91kg,2153.37
840,Lenovo,Thinkpad X1,Ultrabook,14,IPS Panel Quad HD+ 2560x1440,Intel Core i7 6600U 2.6GHz,3474,16GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,2.9kg,2122
937,Toshiba,Tecra Z50-C-140,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6600U 2.6GHz,3474,16GB,256GB SSD,22.99,Intel HD Graphics 620,3.9,Windows 10,1.26kg,1559
968,Lenovo,Thinkpad T460,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i7 6600U 2.6GHz,3474,8GB,256GB SSD,22.99,Intel HD Graphics 615,3.3,Windows 10,1.24kg,1813
985,Dell,Latitude E7470,Ultrabook,14,Touchscreen 2560x1440,Intel Core i7 6600U 2.6GHz,3474,8GB,256GB SSD,22.99,Intel HD Graphics 620,3.9,Windows 10,1.91kg,659
1021,HP,EliteBook 1040,Ultrabook,14,Full HD 1920x1080,Intel Core i7 6600U 2.6GHz,3474,8GB,256GB SSD,22.99,Intel HD Graphics 620,3.9,Windows 10,2kg,586.19
1051,Toshiba,Tecra Z40-C-136,Ultrabook,14,IPS Panel Full HD 1920x1080,Intel Core i7 6600U 2.6GHz,3474,8GB,256GB SSD,22.99,Intel HD Graphics 620,3.9,Windows 10 S,1.252kg,1340
1064,Lenovo,ThinkPad X1,Notebook,14,IPS Panel 2560x1440,Intel Core i7 6600U 2.6GHz,3474,16GB,256GB SSD,22.99,Intel HD Graphics 620,3.9,Windows 10,1.32kg,699
1146,Lenovo,ThinkPad P40,2 in 1 Convertible,14,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6600U 2.6GHz,3474,8GB,512GB SSD,49.99,Nvidia GeForce MX150,6.5,Windows 10,3kg,854
1156,Lenovo,ThinkPad X1,2 in 1 Convertible,14,IPS Panel Touchscreen 2560x1440,Intel Core i7 6600U 2.6GHz,3474,16GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,3.35kg,1999
1162,HP,Spectre Pro,2 in 1 Convertible,13.3,Touchscreen 2560x1440,Intel Core i7 6600U 2.6GHz,3474,8GB,256GB SSD,22.99,Intel HD Graphics 620,3.9,Windows 10,1.05kg,1499
1175,Lenovo,ThinkPad T460s,Ultrabook,14,Full HD 1920x1080,Intel Core i7 6600U 2.6GHz,3474,12GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,4.42kg,3012.77
1177,HP,Spectre Pro,2 in 1 Convertible,13.3,Touchscreen 2560x1440,Intel Core i7 6600U 2.6GHz,3474,8GB,512GB SSD,49.99,Nvidia GeForce GTX 1070,35.5,Windows 10,4.42kg,2699
1178,Lenovo,ThinkPad T460,Ultrabook,14,Full HD 1920x1080,Intel Core i7 6600U 2.6GHz,3474,8GB,256GB SSD,22.99,Intel HD Graphics 620,3.9,Windows 10,2.04kg,559
1238,Lenovo,Thinkpad T560,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6600U 2.6GHz,3474,8GB,256GB SSD,22.99,Intel HD Graphics 620,3.9,Windows 10,2.3kg,713.07
481,Asus,ZenBook Pro,Notebook,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 6700HQ 2.6GHz,6528,12GB,128GB SSD + 1TB HDD,58.98,AMD Radeon R5 M330,2.8,Windows 10,2.19kg,764
501,Asus,Rog G752VL-UH71T,Gaming,17.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,24GB,256GB SSD + 1TB HDD,69.98,Nvidia GeForce 920MX,5.3,No OS,2.2kg,459
618,Dell,Inspiron 7559,Gaming,15.6,Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,16GB,1TB HDD,39.99,Intel HD Graphics 520,3.5,Windows 10,1.95kg,1149
666,Lenovo,IdeaPad Y700-15ISK,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,8GB,128GB SSD + 1TB HDD,58.98,AMD Radeon RX 540,7.7,Windows 10,2.2kg,659
738,Acer,Predator 17,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,16GB,128GB SSD + 1TB HDD,58.98,AMD Radeon R7 M445,3.8,Windows 10,2.3kg,1181.27
766,HP,ZBook 15,Workstation,15.6,Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,8GB,256GB SSD,22.99,Intel UHD Graphics 620,4.4,Windows 10,1.49kg,1197
776,Dell,Inspiron 7559,Gaming,15.6,IPS Panel Touchscreen / 4K Ultra HD 3840x2160,Intel Core i7 6700HQ 2.6GHz,6528,16GB,128GB SSD + 1TB HDD,58.98,AMD Radeon RX 550,9.7,Windows 10,1.75kg,1116.02
790,Asus,Rog G752VS-BA171T,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,16GB,256GB SSD + 1TB HDD,69.98,Nvidia GeForce 920MX,5.3,Windows 10,2.79kg,589
849,Asus,Rog GL702VM-GC017T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,16GB,512GB SSD + 1TB HDD,89.98,Nvidia GeForce MX150,6.5,Windows 10,2.2kg,613
905,MSI,GS73VR Stealth,Gaming,17.3,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 6700HQ 2.6GHz,6528,16GB,512GB SSD + 2TB HDD,99.98,Nvidia Quadro M1200,6.9,Windows 10,2.67kg,1925
986,Dell,Alienware 17,Gaming,17.3,Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,32GB,256GB SSD + 1TB HDD,69.98,Nvidia GeForce 920MX,5.3,Windows 10,2.8kg,470.34
1073,MSI,GT62VR 6RD,Gaming,15.6,Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,16GB,256GB SSD + 1TB HDD,69.98,Intel UHD Graphics 620,4.4,Windows 10,1.19kg,1499
1075,Asus,Rog G752VL-GC088D,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,16GB,1TB HDD,39.99,Intel HD Graphics 520,3.5,Windows 10,2.2kg,1119
1079,MSI,GS63VR 6RF,Gaming,15.6,Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,16GB,256GB SSD + 1TB HDD,69.98,Intel UHD Graphics 620,4.4,Windows 10,1.6kg,999
1083,Dell,Alienware 15,Gaming,15.6,4K Ultra HD 3840x2160,Intel Core i7 6700HQ 2.6GHz,6528,16GB,256GB SSD + 1TB HDD,69.98,Nvidia GeForce 920MX,5.3,Windows 10,2.2kg,579
1112,MSI,GS70 Stealth,Gaming,17.3,Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,8GB,256GB SSD,22.99,Intel UHD Graphics 620,4.4,Windows 10,1.6kg,770
1121,MSI,GE72 Apache,Gaming,17.3,Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,8GB,128GB SSD + 1TB HDD,58.98,AMD Radeon RX 550,9.7,Windows 10,2.1kg,1144.5
1124,Asus,Rog GL552VW-CN470T,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,16GB,128GB SSD + 1TB HDD,58.98,AMD Radeon RX 550,9.7,Windows 10,1.75kg,1215.38
1151,HP,ZBook 17,Workstation,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,8GB,256GB SSD,22.99,Intel UHD Graphics 620,4.4,Windows 10,1.49kg,754
1161,HP,ZBook 15,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,8GB,256GB SSD,22.99,Intel UHD Graphics 620,4.4,Windows 10,1.5kg,847
1163,HP,ZBook Studio,Workstation,15.6,Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,8GB,256GB SSD,22.99,Intel UHD Graphics 620,4.4,Windows 10,1.63kg,722
1179,MSI,GS40 Phantom,Gaming,14,Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,16GB,256GB SSD + 1TB HDD,69.98,Nvidia GeForce 920MX,5.3,Windows 10,2.2kg,468
1195,Lenovo,IdeaPad Y700-15ISK,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,16GB,512GB SSD,49.99,Nvidia GeForce MX130,4.5,Windows 10,2.2kg,693.99
1202,HP,Pavilion 15-BC000nv,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,6GB,1TB HDD,39.99,Intel HD Graphics 520,3.5,Windows 10,1.26kg,1579
1203,Asus,Rog GL552VW-DM201T,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,8GB,256GB SSD + 1TB HDD,69.98,Nvidia GeForce 920MX,5.3,No OS,2.2kg,499
1215,Asus,Rog G752VY-GC229T,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,16GB,512GB SSD + 1TB HDD,89.98,Nvidia Quadro M1200,6.9,Windows 10,3.42kg,2884.86
1222,Asus,FX502VM-DM105T (i7-6700HQ/8GB/1TB/GeForce,Gaming,15.6,Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,8GB,1TB HDD,39.99,Intel HD Graphics 520,3.5,No OS,2.2kg,469
1230,MSI,GS73VR Stealth,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,16GB,256GB SSD + 1TB HDD,69.98,Intel UHD Graphics 620,4.4,Windows 10,2kg,1285
1236,Lenovo,IdeaPad Y700-15ISK,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,8GB,128GB SSD + 1TB HDD,58.98,AMD Radeon RX 540,7.7,Windows 10,2.2kg,579
1239,MSI,GP62MVR 6RF,Gaming,15.6,Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,8GB,128GB SSD + 1TB HDD,58.98,AMD Radeon R7 M445,3.8,Windows 10,2.36kg,889
1246,Lenovo,IdeaPad Y700-15ISK,Gaming,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,16GB,128GB SSD + 1TB HDD,58.98,AMD Radeon RX 580,23.6,Windows 10,3.2kg,1299
1256,MSI,GL62 6QF,Gaming,15.6,Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,8GB,128GB SSD + 1TB HDD,58.98,AMD Radeon RX 580,23.6,Windows 10,3.2kg,1549
1265,Asus,Rog GL502VS,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,16GB,256GB SSD + 1TB HDD,69.98,Nvidia GeForce 920MX,5.3,No OS,2.2kg,629
1274,Asus,Rog G752VT-GC073T,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,16GB,128GB SSD + 1TB HDD,58.98,Intel Graphics 620,3.9,Windows 10,1.8kg,919
1277,MSI,GE62 Apache,Gaming,15.6,Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,8GB,128GB SSD + 1TB HDD,58.98,AMD Radeon RX 580,23.6,Windows 10,3.25kg,2199
1283,Lenovo,IdeaPad Y700-15ISK,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,8GB,1TB HDD,39.99,Intel HD Graphics 520,3.5,Windows 10,1.47kg,1105
1297,Lenovo,IdeaPad Y700-15ISK,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,8GB,1TB HDD,39.99,Intel HD Graphics 520,3.5,Windows 10,1.26kg,1669
1311,Lenovo,IdeaPad Y700-15ISK,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6700HQ 2.6GHz,6528,8GB,1TB HDD,39.99,Intel HD Graphics 520,3.5,Windows 10,2.18kg,558.6
584,Lenovo,IdeaPad Y910-17ISK,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,6933,32GB,256GB SSD + 1TB HDD,69.98,Nvidia GeForce 920M,3.6,Windows 10,2.2kg,720.32
610,MSI,Laptop MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,6933,16GB,128GB SSD + 1TB HDD,58.98,AMD Radeon RX 580,23.6,Windows 10,3.74kg,1749
658,Asus,ROG G701VI,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,6933,32GB,512GB SSD,49.99,Nvidia GeForce MX130,4.5,Windows 10,3kg,702
913,Asus,G701VO-IH74K (i7-6820HK/32GB/2x,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,6933,32GB,256GB SSD + 256GB SSD,45.98,Nvidia GeForce 930MX,4.9,Windows 10,2.5kg,977
953,Dell,Alienware 17,Gaming,17.3,2560x1440,Intel Core i7 6820HK 2.7GHz,6933,16GB,512GB SSD + 1TB HDD,89.98,Nvidia Quadro M1200,6.9,Windows 10,2.8kg,3055
1061,MSI,GT72S Dominator,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,6933,16GB,256GB SSD + 1TB HDD,69.98,Nvidia GeForce 930M,4.2,Windows 10,2.2kg,1043
1081,Asus,ROG G701VO,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,6933,64GB,1TB SSD,109.99,Intel HD Graphics 520,3.5,Windows 10,2.09kg,1046.44
1096,Lenovo,IdeaPad Y900-17ISK,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,6933,32GB,512GB SSD + 1.0TB Hybrid,89.98,Nvidia GeForce MX150,6.5,No OS,2.8kg,698
1131,Lenovo,IdeaPad Y900-17ISK,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 6820HK 2.7GHz,6933,16GB,256GB SSD + 1.0TB Hybrid,69.98,Intel UHD Graphics 620,4.4,Windows 10,1.62kg,839
394,Dell,Precision 5520,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,6892,8GB,256GB SSD,22.99,Intel UHD Graphics 620,4.4,Windows 10,1.63kg,1084
458,Dell,Precision 3520,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,6892,16GB,256GB SSD,22.99,Intel UHD Graphics 620,4.4,Windows 10,1.29kg,1499
493,Dell,Precision 3520,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,6892,16GB,512GB SSD,49.99,Nvidia GeForce MX150,6.5,No OS,1.3kg,999.9
785,Lenovo,Thinkpad P50,Notebook,15.6,4K Ultra HD 3840x2160,Intel Core i7 6820HQ 2.7GHz,6892,16GB,512GB SSD,49.99,Nvidia GeForce MX150,6.5,Windows 10,1.5kg,1262
1031,Lenovo,ThinkPad P70,Notebook,17.3,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 6820HQ 2.7GHz,6892,16GB,512GB SSD,49.99,Nvidia GeForce MX150,6.5,Windows 10,2.2kg,689
